Model Name,price
Acer Aspire 3 Intel Core i5 11th Generation 15.6-inch (39.6 cms) Full HD Laptop - (8 GB/1TB HDD/Windows 11 Home/1.7 Kg/Silver) A315-58,"45,990"
"HP 250 G7 Commercial Laptop (10th Gen Intel Core i5, 8GB RAM, 1TB HDD, Windows 10), 1S5F9PA - for Small and Medium Business","47,300"
"ASUS VivoBook 14 (2021), Intel Core i5-1135G7 11th Gen, 14-Inch (35.56 cms) FHD Thin and Light Laptop (8GB RAM/1TB HDD + 256GB SSD/Office 2019/Windows 10/Integrated/Silver/1.6 kg), X415EA-EB572TS","48,990"
"(Renewed) ASUS VivoBook 14 (2021), 14-inch (35.56 cm) FHD, Intel Core i5-1035G1 10th Gen, Thin and Light Laptop (8GB/1TB HDD/Office 2021/Windows 11/Integrated Graphics/Silver/1.6 kg), X415JA-EB501WS","35,718"
"HP Pavilion Gaming 11th Gen Intel Core i5 15.6 inch(39.6 cm) FHD Gaming Laptop (8GB RAM/256GB SSD+1TB HDD/144Hz/GTX 1650 4GB Graphics/Windows 10/MS Office/Shadow Black/2.28 Kg), 15-dk2100TX","63,890"
"Dell Inspiron 3501 (15.6 inches) FHD Display Laptop (Intel i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / Integrated Graphics / Windows 10 + MSO / Backlit KB / Soft Mint Color) D560559WIN9S, 1.8kg","65,000"
"Acer Nitro 5 12th Gen Intel Core Intel Core i5-12500H Processor 15.6-inch (39.62 cms) FHD 144 Hz Gaming Laptop (8 GB RAM/RTX 3050 Graphics/512 GB SSD/1TB HDD/Windows 11 Home/RGB Backlit), AN515-58","89,990"
"HP 15 11th Gen Intel Core i5 15.6 inches FHD Laptop with Alexa Built-in (8GB/1TB HDD/m.2 Slot/Windows 10/MS Office/NVIDIA 2GB Graphics/Jet Black/1.77 Kg), 15s-du3060TX","55,000"
"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i5-1135G7 11th Gen, Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Iris Xe Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415EA-EB572WS","49,890"
"Dell Inspiron 3501 15 inches FHD Laptop (Intel 11th Gen i5-1135G7/8GB/1TB HDD/256GB SSD/Windows 10 Home + MS Office/2GB Graphics/Soft Mint), 1.7kg","64,500"
"Dell 14 (2021) Intel i5-1135G7 14 inches FHD Display Laptop, 8GB, 1TB + 256Gb SSD, Windows 11 + MS Office'21, Integrated Graphics, Dune Color, Backlit KB (Vostro 3400, D552231WIN9D), 1.59Kg","60,499"
"(Renewed) Dell Latitude E5440 Intel Core i5 4th Gen 14 inches HD Business Laptop (8GB RAM Upgradable to 16/1TB HDD/Windows 10 Pro/MS Office 2019/More than 4 GB Integrated Graphics, Black, 2.2 kg)","26,998"
"Acer Aspire 5 A514-54 14 inches Full HD IPS Display 11th Gen Intel Core i5-1135G7 Processor Thin and Light Laptop (8GB DDR4 1TB HDD WiFi 6, Windows 11 Home HD Webcam, Pure Silver, 1.45kg)","46,989"
"ASUS Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ502T Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 Kg)","44,990"
"Lenovo IdeaPad Gaming 3 10th Gen Intel Core i5-10300H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/1TB+256GB SSD/Windows 10/NVIDIA GTX 1650 4GB/M100 Mouse/Onyx Black/2.2Kg), 81Y400V9IN","63,990"
"Dell 15 2022 Intel i5-1135G7, 8GB / 1TB + 256GB SSD, Windows 11+MSO 21, 15.6 inches FHD Display Laptop Computer, Platinum Silver (D560666WIN9S, Inspiron 3511)","61,000"
"Dell 15 (2021) Intel i5-1135G7 15.6 inches FHD Display Laptop (8GB RAM,1TB HDD + 256Gb SSD, Win 10 + MS Office,Nvidia 2GB MX350 Graphics,Backlit KB, Platinum Silver Color (Inspiron 3511, 1.85Kg)","67,400"
"ASUS VivoBook K15 OLED (2021), 15.6"" (39.62 cm) FHD OLED, Intel Core i5-1135G7 11th Gen, Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Iris Xe Graphics/Office 2021/Win 11/Black/1.8 Kg), K513EA-L502WS","63,990"
"(Renewed) Acer Aspire 5 11th Gen Core i5 14-inch (35.56 cms) Full HD IPS Thin & Light Laptop- (8 GB/512 GB SSD/Windows 11 Home/Intel Iris Xe Graphics/Pure Silver/1.45 KG/MS Office), A514-54","44,114"
Acer Aspire 3 core i5 11th Generation Processor 39.62 cm (15.6-inch) Full HD Ultra Slim Thin and Light Laptop - (8 GB/1 TB HDD/Windows 10 Home/Intel Iris Xe Graphic/1.7Kg/Silver) A315-58,"49,999"
"(Renewed) HP Elitebook UltraSlim Hybrid Laptop 820G1 Intel Core i5 - 4200u Processor, 8 GB Ram, 1TB Harddisk & 128 GB ssd, Windows 10 Pro, 12.5 Inches Notebook Computer","29,990"
"(Renewed) Dell Intel Core i5 3320M 13.3-Inch (33.78 cms) 1366 x 768 Light Laptop (8 GB/1 TB/Windows 10/MS Office /Intel HD Graphics 4000//3.60 Kg), E6330","25,999"
"(Renewed) DELL G3 3500 Gaming 15.6-inch FHD Laptop (10th Gen Core i5-10300H/8GB/1TB + 256GB SSD/Windows 10 Home Plus/4GB NVIDIA 1650 Graphics), Eclipse Black","57,990"
"(Renewed) Dell Intel Core i5 6th Gen 12.5-Inch(31.75 cms) (1366 x 768) Laptop (8GB RAM/1TB HDD/Windows 10 Pro/MS Office/Intel Integrated HD Graphics/1.4Kg,Black) Latitude E5270","36,199"
