Model Name,price
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,999"
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,999"
"MOTOROLA G60 (Moonless, 128 GB)","₹14,999"
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹13,999"
"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,549"
"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹15,999"
"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹13,999"
"MOTOROLA G60 (Soft Silver, 128 GB)","₹14,999"
"OPPO K10 (Black Carbon, 128 GB)","₹14,990"
"OPPO K10 (Blue Flame, 128 GB)","₹14,990"
"realme 9 (Sunburst Gold, 128 GB)","₹17,999"
"realme C35 (Glowing Black, 128 GB)","₹12,999"
"REDMI Note 10T 5G (Chromium White, 128 GB)","₹13,999"
"vivo T1 44W (Starry Sky, 128 GB)","₹14,499"
"vivo T1 44W (Ice Dawn, 128 GB)","₹15,999"
"vivo T1 5G (Starlight Black, 128 GB)","₹16,990"
"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990"
"vivo T1 5G (Starlight Black, 128 GB)","₹15,990"
"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990"
"realme C35 (Glowing Green, 128 GB)","₹12,999"
"REDMI Note 10 Pro (Dark Night, 128 GB)","₹15,999"
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹16,499"
"realme 9 5G (Stargaze White, 128 GB)","₹17,499"
"REDMI 10 (Pacific Blue, 128 GB)","₹12,499"
